Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
ASMT,acetylserotonin O-methyltransferase,438,"RP13-297E16.2, ASMTY, HIOMT, HIOMTY","X,Y",Xp22.33,P46597,"300015, 402500",melatonin biosynthesis,"Rare Single Gene variant, Genetic Association",Studies have found genetic association and rare variants in the ASMT gene that are identified with autism.,9,2,"18925931,23995775",0,,17505466,"14275158,487129",17204557,"23275889,23349736,23632794"
ASPM,abnormal spindle microtubule assembly,259266,"ASP, Calmbp1, MCPH5",1,1q31.3,Q8IZT6,605481,"This gene is the human ortholog of the Drosophila melanogaster 'abnormal spindle' gene (asp), which is essential for normal mitotic spindle function in embryonic neuroblasts. Studies in mouse also suggest a role of this gene in mitotic spindle regulation, with a preferential role in regulating neurogenesis. Biallelic mutations in the ASPM gene are responsible for a form of autosomal recessive primary microcephaly (MCPH5; OMIM 608716), a disorder associated with intellectual disability and speech delay (Bond et al., 2002; Bond et al., 2003).",Syndromic,"A de novo missense variant in the ASPM gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014. Rare inherited loss-of-function and damaging missense variants in the ASPM gene were identified in ASD probands from the Simons Simplex Collection in Krumm et al., 2015 and in a cohort of Chinese ASD probands in Guo et al., 2017. Subsequent Transmission and De Novo Association (TADA) analysis in Guo et al., 2017 identified ASPM as an ASD candidate gene, with a PTADA of 0.001826 in the Chinese ASD case-control cohort and a PTADA of 0.001356 in a combined cohort of Chinese ASD probands and controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium.",8,0,,0,,25363768,12355089,28831199,"14574646,25961944,30842647,31398340,32066665"
ASS1,argininosuccinate synthetase,445,"ASS1, CTLN1",9,9q34.11,P00966,603470,The encoded protein has argininosuccinate synthase activity.,Functional,"Differential expression of the ASS1 gene has been shown to occur in some autistic individuals (Hu et al., 2006).",3,0,,0,,16709250,7507106,16580861,
ASTN2,astrotactin 2,23245,"RP11-45A16.2, KIAA0634, bA67K19.1",9,9q33.1,O75129,612856,"This gene encodes a protein that is expressed in the brain and may function in neuronal migration, based on functional studies of the related astrotactin 1 gene in human and mouse. A deletion at this locus has been associated with schizophrenia.",Rare Single Gene variant,Association has been found between the ASTN2 gene and autism. Glessner et al. (2009) identified a rare ASTN2 deletion in an autism case. Another study found a link between rare ASTN2 CNVs and schizophrenia.,14,2,"28098162,28540026",0,,19404257,3276720,"18839057,18940311,20573900,22683712,24381304,30242134","23275889,23879678,28940097,32094338"
ASXL3,Additional sex combs like 3 (Drosophila),80816,KIAA1713,18,18q12.1,Q9C0F0,615115,"Putative Polycomb group (PcG) protein. PcG proteins act by forming multiprotein complexes, which are required to maintain the transcriptionally repressive state of homeotic genes throughout development. PcG proteins are not required to initiate repression, but to maintain it during later stages of development. They probably act via methylation of histones, rendering chromatin heritably changed in its expressibility. Heterozygous de novo truncating variants in this gene were recently identified in patients with a novel clinical phenotype similar to Bohring-Opitz syndrome (Bainbridge et al., 2013).",Syndromic,"Four de novo loss-of-function (LoF) variants in the ASXL3 gene have been identified in ASD probands (PMIDs 24044690, 25363760, 28263302). Analysis of rare coding variation in 3,871 ASD cases and 9,937 ancestry-matched or paternal controls from the Autism Sequencing Consortium (ASC) in De Rubeis et al., 2014 identified ASXL3 as a gene meeting high statistical significance with a 0.01 < FDR  0.05, meaning that this gene had a  95% chance of being a true autism gene (PMID 25363760). This gene was identified in Iossifov et al. 2015 as a strong candidate to be an ASD risk gene based on a combination of de novo mutational evidence and the absence or very low frequency of mutations in controls (PMID 26401017). De novo truncating variants in this gene have also been identified in individuals presenting with a syndrome that shares characteristics with Bohring-Opitz syndrome, including developmental delay, post-natal growth retardation and feeding problems (PMID 23383720, 27901041). Balasubramanian et al., 2017 reported 12 new patients with de novo heterozygous loss-of-function variants in ASXL3 and a diagnosis of Bainbridge-Ropers syndrome; nine of these patients were either formally diagnosed with autism or ASD, or were described as having autistic features (PMID 28100473).",26,0,,0,,24044690,,"23383720,25363760,26401017,28100473","26647312,27075689,27901041,28263302,28333917,28431838,28554332,28785287,28831199,28990276,29305346,29628764,30564305,31031587,31038196,31180560,31398340,31452935,31981491,32094338,32517662"
ATG7,Autophagy related 7,10533,"APG7-LIKE, APG7L, GSA7",3,3p25.3,O95352,608760,This gene encodes a E1-like activating enzyme involved in the 2 ubiquitin-like systems required for cytoplasm to vacuole transport (Cvt) and autophagy; this enzyme also plays a key role in the maintenance of axonal homeostasis and the prevention of axonal degeneration.,Functional,"Atg7-conditional knockout mice, which were specifically autophagy-deficient in forebrain excitatory neurons, exhibited ASD-like behaviors and dendritic spine pruning defects (Tang et al., 2014).",5,0,,0,,25155956,,27400854,"30989111,31130284,31398340"
ATP10A,Probable phospholipid-transporting ATPase VA,57194,ATP10C,15,15q12,O60312,605855,The encoded protein is a member of the aminophospholipid-transporting ATPase family.,Genetic Association,Conflicting studies have shown positive genetic association and no genetic association of the ATP10C gene with autism.,9,0,,1,11857573,12851639,11326269,16517145,"25363768,25961944,26637798,30504930,31696658"
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,476,CMT2DD,1,1p13.1,P05023,182310,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. These gradients are essential for osmoregulation, for sodium-coupled transport of a variety of organic and inorganic molecules, and for electrical excitability of nerve and muscle.",Rare single gene variant,"Two de novo variants in the ATP1A1 gene (one loss-of-function, one damaging missense) were identified in ASD probands in whole-exome sequencing studies (De Rubeis et al., 2014; Iossifov et al., 2014).  De novo missense variants in the ATP1A1 gene that resulted in loss of Na+,K+-ATPase function and abnormal cation permeabilities were identified in three unrelated individuals presenting with generalized seizures in infancy, severe hypomagnesemia, renal magnesium wasting, and developmental delay/intellectual disability; one of these three individuals was diagnosed with severe autism, while another was suspected of having autism spectrum disorder (Schlingmann et al., 2018).",5,0,,0,,25363760,,30388404,"25363768,31771860,32277047"
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,478,"AHC2, CAPOS, DYT12, RDP",19,19q13.2,P13637,182350,"The protein encoded by this gene belongs to the family of P-type cation transport ATPases, and to the subfamily of Na+/K+ -ATPases. Na+/K+ -ATPase is an integral membrane protein responsible for establishing and maintaining the electrochemical gradients of Na and K ions across the plasma membrane. This gene encodes an alpha 3 catalytic subunit. Heterozygous variants in ATP1A3 are responsible for alternating hemiplegia of childhood 2 (AHC2; OMIM 614820) and cerebellar ataxia, areflexia, pes cavus, optic atrophy, and sensorineural hearing loss (CAPOS) syndrome (OMIM 601338).",Syndromic,"Two siblings from a British family with CAPOS syndrome and a p.Glu818Lys missense variant in ATP1A3 were diagnosed with autism spectrum disorder; this variant was also observed in two additional families with CAPOS syndrome in the absence of ASD (Demos et al., 2014). A probably damaging missense variant in ATP1A3 was identified in an ASD proband from the Autism Sequencing Consortium (De Rubeis et al., 2014). Evaluation of the social behavior of the Myshkin mouse model of AHC2, which has an p.Ile810Asn mutation identical to one found in several AHC2 patients, including one patient with co-morbid autism (Yang et al., 2014; Panagiotakaki et al., 2015), identified deficits in three tests of social behavior: nest building, pup retrieval and the three-chamber social approach test (Kirshenbaum et al., 2016). A second de novo missense variant that was predicted to be damaging was observed in an ASD proband from a Japanese trio in Takata et al., 2018. TADA analysis using a combined dataset of previously published cohorts from the Simons Simplex Collection and the Autism Sequencing Consortium, as well as the Japanese ASD cohort from Takata et al., 2018, identified ATP1A3 as a gene significantly enriched in damaging de novo mutations in ASD cases (pBH < 0.05).",14,0,,0,,24468074,,"27276195,29346770","24842602,25363760,26410222,27626066,27726050,27848944,28708303,29100083,29286531,29922587,32339621"
ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",108733,"PMCA2, PMCA2a, PMCA2i",3,3p25.3,Q01814,108733,This gene encodes the plasma membrane calcium ATPase isoform 2. The protein encoded by this gene belongs to the family of P-type primary ion transport ATPases characterized by the formation of an aspartyl phosphate intermediate during the reaction cycle. These enzymes remove bivalent calcium ions from eukaryotic cells against very large concentration gradients and play a critical role in intracellular calcium homeostasis.,Genetic Association,"Genetic association has been found between the ATP2B2 gene and autism in a combined AGRE, ISART (Italian) and US cohort (Carayol et al., 2011). A de novo missense variant that was predicted to be damaging was identified in the ATP2B2 gene in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2014, and two de novo nonsense variants in this gene were observed in ASD probands from Japanese trios in Takata et al., 2018. TADA analysis using a combined dataset of previously published cohorts from the Simons Simplex Collection and the Autism Sequencing Consortium, as well as the Japanese ASD cohort from Takata et al., 2018, identified ATP2B2 as a gene significantly enriched in damaging de novo mutations in ASD cases (pBH < 0.05).",9,3,"22739633,23620727,28540026",0,,21757185,,"23715297,29346770","25363760,25363768,28867142"
ATP6V0A2,ATPase H+ transporting V0 subunit a2,23545,"A2, ARCL, ARCL2A, ATP6A2, ATP6N1D, J6B7, RTF, STV1, TJ6, TJ6M, TJ6S, VPH1, WSS",12,12q24.31,Q9Y487,611716,"The protein encoded by this gene is a subunit of the vacuolar ATPase (v-ATPase), an heteromultimeric enzyme that is present in intracellular vesicles and in the plasma membrane of specialized cells, and which is essential for the acidification of diverse cellular components. V-ATPase is comprised of a membrane peripheral V(1) domain for ATP hydrolysis, and an integral membrane V(0) domain for proton translocation. The subunit encoded by this gene is a component of the V(0) domain. Biallelic mutations in the ATP6V0A2 gene are associated with autosomal recessive cutis laxa type IIA (ARCL2A; OMIM 219200) and wrinkly skin syndrome (OMIM 278250).",Rare single gene variant,"Rare inherited loss-of-function and damaging missense variants in the ATP6V0A2 gene were identified in ASD probands from the Simons Simplex Collection in Krumm et al., 2015; targeted sequencing of 536 Chinese ASD probands and 1457 Chinese controls in Guo et al., 2017 identified additional rare inherited variants in this gene in ASD probands. Subsequent Transmission and De Novo Association (TADA) analysis In Guo et al., 2017 identified ATP6V0A2 as an ASD candidate gene with a PTADA of 0.007146 in the Chinese ASD case-control cohort and a PTADA of 0.007251 in a combined cohort of Chinese ASD probands and controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium.",3,0,,0,,25961944,,28831199,31398340
ATP8A1,ATPase phospholipid transporting 8A1,10396,"ATPASEII, ATPIA, ATPP2",4,4p13,Q9Y2Q0,609542,The protein encoded by the ATP8A1 gene is a catalytic component of a P4-ATPase flippase complex which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids from the outer to the inner leaflet of various membranes and ensures the maintenance of asymmetric distribution of phospholipids.,Rare single gene variant,"Elevated levels of ATP8A1 protein was observed in the hippocampus and temporal lobe of juvenile autistic subjects compared to controls in Kerr et al., 2016. In the same report, intra-hippocampal injection of ATP8A1-expressing lentivirus in mice resulted in fewer and weaker excitatory synapses in the CA1 region, as well as autistic-like social behavior in the three-chambered social test.",3,0,,0,,27287255,,,"25363760,31398340"
ATRNL1,Attractin-like 1,26033,"ALP, bA338L11.1, bA454H24.1",10,10q25.3,Q5VV63,612869,May play a role in melanocortin signaling pathways that regulate energy homeostasis,Rare single gene variant,"A de novo deletion involving the ATRNL1 gene was identified in a male patient diagnosed with PDD-NOS, cognitive impairment, ataxia, ventricular septal defect, postnatal growth retardation, and dysmorphic features (Stark et al., 2010).",3,0,,0,,20670697,,,"31038196,31398340"
ATRX,alpha thalassemia/mental retardation syndrome X-linked,546,"RP5-875J14.1, ATR2, JMS, MGC2094, MRXHF1, RAD54, RAD54L, SFM1, SHS, XH2, XNP, ZNF-HX",X,Xq21.1,P46100,300032,"The protein encoded by this gene contains an ATPase/helicase domain, and thus it belongs to the SWI/SNF family of chromatin remodeling proteins. Mutations in this gene are associated with an X-linked mental retardation (XLMR) syndrome most often accompanied by alpha-thalassemia (ATRX) syndrome. These mutations have been shown to cause diverse changes in the pattern of DNA methylation, which may provide a link between chromatin remodeling, DNA methylation, and gene expression in developmental processes. Multiple alternatively spliced transcript variants encoding distinct isoforms have been reported.",Syndromic,"A rare mutation in the ATRX gene has been identified with ASD (Gong et al., 2008).",23,0,,0,,16722615,,25147162,"18361425,21267006,23352163,24690944,25167861,25533962,25606380,26539891,26997013,28554332,28708303,28831199,29158550,31130284,31209962,31406558,31452935,32193494,32277047,7697714,8644709"
ATXN7,Ataxin 7,6314,"ADCAII, FLJ17787, OPCA3, SCA7",3,3p14.1,O15265,607640,Acts as component of the STAGA transcription coactivator-HAT complex. Mediates the interaction of STAGA complex with the CRX and is involved in CRX-dependent gene activation. Defects in ATXN7 are the cause of spinocerebellar ataxia type 7 (SCA7) [MIM:164500].,Rare single gene variant,"A de novo deletion of the ATXN7 gene was identified in an autistic proband from a simplex family (van Daalen et al., 2011).",1,0,,0,,21837366,,,
AUTS2,autism susceptibility candidate 2,26053,,7,7q11.22,Q5D049,607270,unknown,Rare Single Gene variant,"Multiple studies have identified rare mutations in the AUTS2 gene with autism. In addition, several studies have found that rare variants in AUTS2 are identified with mental retardation, ADHD, epilepsy and genetically associated with alcohol consumption.",41,1,28540026,0,,12160723,17211639,"19546859,19567891,19948250,20502679,20615956,21471458,22872102,23332918,23349641,25180570,25205402,25519132,30953002","16395125,20635338,21680558,22521361,23275889,23535821,23650183,24459036,24643514,24690944,24776741,25533962,25851617,27075013,27841880,28440294,28554332,30923172,31130284,31134136,31452935,31788251,32094338,32477112,32498016"
AVP,Arginine vasopressin,551,"ADH, ARVP-NPII, AVRP, VP,AVP",20,20p13,P01185,192340,"This gene encodes a member of the vasopressin/oxytocin family and preproprotein that is proteolytically processed to generate multiple protein products, including the neuropeptide hormone arginine vasopressin. Arginine vasopressin plays a role in many biological processes, including cognition, tolerance, adaptation and complex sexual and maternal behaviour.",Functional,"Brattleboro rats, which have a spontaneous mutation disrupting the AVP gene, were shown to display a natural deficit in social discrimination that could be reversed by treatment with clozapine or a neurotensin analog (Feifel et al., 2009). One of the receptors for arginine vasopressin is the protein encoded by the ASD-associated gene AVPR1.",4,1,27242401,0,,19322170,,,"27066536,3246481"
AVPR1A,arginine vasopressin receptor 1A,552,,12,12q14.2,P37288,600821,The encoded protein is a receptor for arginine vasopressin. It belongs to the G -protein coupled receptor family.,"Rare Single Gene variant, Genetic Association","Several studies have found genetic association and rare variants in the AVPR1A gene that are identified with autism. Cohorts and populations studied include CLSA, US, Israeli and Korean, In addition, the AVPR1A gene has been found to be genetically associated with creative dance performance in an Israeli cohort. A recent study reported association of the RS3 allele and human maternal behavior (Avinun et al., 2012).",23,10,"12082568,15098001,20452058,20546835,21453499,25707602,26087016,27874273,27920663,28808521",0,,16520824,10466725,"15947188,16205790,16504276,20838784,21980412,22764113","18490926,28263302,29346770,31674007,31894656"
AVPR1B,arginine vasopressin receptor 1B,553,AVPR3,1,1q32.1,P47901,600264,The protein encoded by this gene acts as receptor for arginine vasopressin. The activity of this receptor is mediated by G proteins which activate a phosphatidyl-inositol-calcium second messenger system.,Functional,"Family-based association testing in 207 families with an ASD proband identified association between two SNPs in the AVPR1B gene (rs28632197, P=0.006 and rs35369693, p=0.025) and a diagnosis of ASD (Francis et al., 2016). Avpr1b knockout mice exhibit a number of behavioral abnormalities, including abnormalities in social behavior and aggression, some of which were gender-specific (Wersinger et al., 2002; Scattoni et al., 2008; DeVito et al., 2009; Caldwell et al., 2010).",8,2,"17909131,19598235",0,,27920663,,,"12399951,18005969,19261862,20298692,24863146"
AZGP1,"alpha-2-glycoprotein 1, zinc-binding",563,"ZA2G, ZAG",7,7q22.1,P25311,194460,Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.,Rare single gene variant,"Two non-synonymous postzygotic mosaic mutations (PZMs) in the gene were identified in ASD probands in Lim et al., 2017; comparison with a background set of 84,448 privately inherited variants demonstrated that this gene harbored more PZMs than expected based on background rates (2/571 observed vs. 4/84,448 expected; hypergeometric P-value of 2.7E-04). A de novo frameshift variant in the AZGP1 gene was identified by whole genome sequencing in an ASD proband from a multiplex family in Yuen et al., 2017.",3,0,,0,,28714951,,,"28263302,31398340"
BAIAP2,BAI1-associated protein 2,10458,BAP2; FLAF3; IRSP53,17,17q25.3,Q9UQB8,605475,An adaptor protein of post-synaptic density that links membrane bound G-proteins to cytoplasmic effector proteins,Genetic Association,"Genetic association has been found between the BAIAP2 gene and autism (Toma et al., 2011) as well as with ADHD (Ribass et al., 2009). In addition, a rare deletion in the BAIAP2 gene was identified with autism (Celestino-Soper et al., 2011).",12,0,,0,,20888579,"11130076,11696321","19733838,19933840,20360004,20707603,22179776,24392092","21865298,31674007,32116566"
BAZ2B,bromodomain adjacent to zinc finger domain 2B,29994,WALp4,2,2q24.2,Q9UIF8,605683,"This gene belongs to the bromodomain gene family. Members of this gene family encode proteins that are integral components of chromatin remodeling complexes. The encoded protein showed strong preference for the activating H3K14Ac mark in a histone peptide screen, suggesting a potential role in transcriptional activation.",Rare single gene variant,"Two de novo variants in the BAZ2B gene (a loss-of-function variant and a damaging missense variant) were identified in ASD probands from the Simons Simplex Collection in Iossifov et al., 2014.  A second loss-of-function (LoF) variant in BAZ2B was identified in a patient presenting with ASD, moderate intellectual disability, and macrocephaly in Bowling et al., 2017.  A third LoF variant in this gene was identified as a mosaic mutation in another ASD proband from the Simons Simplex Collection in Krupp et al., 2017.  Scott et al., 2020 identified seven individuals with heterozygous deletions, nonsense, or de novo missense variants affecting BAZ2B, all of whom presented with developmental delay, intellectual disability, and/or ASD; most of these individuals also presented with dysmorphic features and/or congenital anomalies.",6,0,,0,,25363768,,"28867142,31999386","27479843,28554332,31398340"
BBS4,Bardet-Biedl syndrome 4,585,,15,15q24.1,Q96RK4,600374,"This gene is a member of the Bardet-Biedl syndrome (BBS) gene family. Bardet-Biedl syndrome is an autosomal recessive disorder characterized by severe pigmentary retinopathy, obesity, polydactyly, renal malformation and cognitive disability. The proteins encoded by BBS gene family members are structurally diverse. The similar phenotypes exhibited by mutations in BBS gene family members are likely due to the protein's shared roles in cilia formation and function. Many BBS proteins localize to the basal bodies, ciliary axonemes, and pericentriolar regions of cells. BBS proteins may also be involved in intracellular trafficking via microtubule-related transport. The protein encoded by this gene has sequence similarity to O-linked N-acetylglucosamine (O-GlcNAc) transferases in plants and archaebacteria and in human forms a multi-protein "BBSome" complex with seven other BBS proteins.",Rare single gene variant,"Inherited exon-disruptive deletions in the BBS4 gene was identified in two unrelated ASD cases (Girirajan et al., 2013).",5,1,28472652,0,,23375656,,,"27848944,31398340,31674007"
BCAS1,breast carcinoma amplified sequence 1,8537,"AIBC1, NABC1",20,20q13.2,O75363,602968,"This gene is a candidate oncogene that resides in a region at 20q13 which is amplified in a variety of tumor types and associated with more aggressive tumor phenotypes. It is expressed in brain and prostate, and at lower levels in testis, intestine and colon, overexpressed in most breast cancer cell lines, and down-regulated in some colorectal tumors.",Rare single gene variant,"This gene was originally identified as an ASD candidate gene based on its enrichment in an autism-associated protein interaction module. Sequencing of post-mortem brain tissue from 25 ASD cases resulted in the identification of significant non-synonymous variants in this gene with an expected false-positive rate at 0.1, confirming the involvement of this module with autism; this finding was further validated by exome sequencing of an independent cohort of 505 ASD cases and 491 controls (Li et al., 2014).",4,0,,0,,25549968,,,"25533962,31398340,32820185"
BCKDK,Branched chain ketoacid dehydrogenase kinase,10295,"BCKDKD, BDK",16,16p11.2,O14874,614901,"Catalyzes the phosphorylation and inactivation of the branched-chain alpha-ketoacid dehydrogenase complex, the key regulatory enzyme of the valine, leucine and isoleucine catabolic pathways. Key enzyme that regulate the activity state of the BCKD complex. Defects in this gene are associated with branched-chain ketoacid dehydrogenase kinase deficiency (BCKDKD) [MIM:614923], a metabolic disorder characterized by autism, epilepsy, intellectual disability, and reduced branched-chain amino acids.",Rare single gene variant,"Three different homozygous variants (one nonsense, one frameshift, one missense) in the BCKDK gene that segregated with disease were identified in three consanguineous families presenting with autism and ID (Novarino et al., 2012).",4,0,,0,,22956686,,"23716694,24449431",31398340
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),53335,"BCL11A-L-S,BCL11A-XL,BCL11a-M, CTIP1, EVI9, HBFQTL5, ZNF856,BCL11A",2,2p16.1,Q9H165,606557,This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein that functions as a myeloid and B-cell proto-oncogene. BCL11A resides within the dyslexia susceptibility candidate region 3 (DYX3) and has been proposed to be a candidate gene in chromosome 2p16.1-p15 deletion syndrome.,Rare single gene variant,"A de novo loss-of-function variant in the BCL11A gene has been identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014). This gene was also identified in an ASD whole-exome sequencing study and subsequent TADA (transmission and de novo association) analysis as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (De Rubeis et al., 2014).",19,0,,0,,22542183,,"25363760,26182416,26401017,27453576","24810580,25533962,25938782,25979662,27699255,27841880,28333917,28573701,28628100,28891213,28960836,31873310,31981491,32382396"
BCL2,B-cell CLL/lymphoma 2,596,Bcl-2; BCL2,18,18q21.33,P10415,151430,An integral outer mitochondrial membrane protein that blocks the apoptotic cell death,Functional,Studies have shown that the expression of Bcl-2 is significantly decreased in the brain of autistic subjects.,10,0,,0,,20375269,"15233914,2250705,8358790,8402909,9027314","19854241,20460269,20648653,21300885",
BCORL1,BCL6 corepressor like 1,63035,"BCoR-L1, CXorf10",X,Xq26.1,Q5H9F3,300688,The protein encoded by this gene is a transcriptional corepressor that is found tethered to promoter regions by DNA-binding proteins. The encoded protein can interact with several different class II histone deacetylases to repress transcription.,Rare single gene variant,"Shukla et al., 2019 reported five individuals from three pedigrees with maternally-inherited missense variants in the BCORL1 gene that presented with an X-linked neurodevelopmental disorder characterized by intellectual disability, behavioral abnormalities, and dysmorphic features; autism spectrum disorder was reported in all five individuals in this report.  A rare de novo missense variant in this gene had previously been identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014).",4,0,,0,,30941876,,,"25363768,31130284,31452935"
BDNF,Brain-derived neurotrophic factor,627,"ANON2, BULN2",11,11p14.1,P23560,113505,"During development, promotes the survival and differentiation of selected neuronal populations of the peripheral and central nervous systems. Participates in axonal growth, pathfinding and in the modulation of dendritic growth and morphology. Major regulator of synaptic transmission and plasticity at adult synapses in many regions of the CNS.",Functional,"BDNF(+/-) mice displayed a global reduction in grooming activity, with fewer bouts and transitions between specific grooming stages, altered grooming syntax, as well as hypolocomotion and increased turning behavior (Kyzar et al., 2012). Abnormal BDNF serum levels in ASD cases have also been reported (Nelson et al., 2001; Miyazaki et al., 2004; Connolly et al., 2006; Hashimoto et al., 2006). Two meta-analyses of BDNF levels in autism found evidence for higher BDNF levels in ASD cases compared with controls (Armeanu et al., 2016; Zheng et al., 2016).",12,0,,1,26820673,22951260,11357950,"25182223,27501933,27506602","15165668,16181614,16876305,28397838,29935919,31591381"
BICDL1,BICD family like cargo adaptor 1,92558,"BICDR-1, BICDR1,CCDC64, CCDC64A, H_267D11.1",12,12q24.23,Q6ZP65,,This protein is a component of the secretory vesicle machinery in developing neurons that acts as a regulator of neurite outgrowth.,Genetic Association,"Genetic association has been found between the BICDL1 gene (formerly known as the CCDC64 gene) and autism in two large cohorts (AGRE and ACC) of European ancestry and replicated in two other cohorts (CAP and CART) (Wang et al., 2009).",2,1,22935194,0,,19404256,,,
BIN1,bridging integrator 1,274,"AMPH2, AMPHL, SH3P9",2,2q14.3,O00499,601248,"This gene encodes several isoforms of a nucleocytoplasmic adaptor protein, one of which was initially identified as a MYC-interacting protein with features of a tumor suppressor. Isoforms that are expressed in the central nervous system may be involved in synaptic vesicle endocytosis and may interact with dynamin, synaptojanin, endophilin, and clathrin.",Rare single gene variant,"In a genome-wide association study of 2165 participants from the Autism Genetic Resource Exchange (AGRE) performed to examine associations between genomic loci and endophenotypes associated with ASDs, it was shown that item 27 ("association of loss of motor, self-help, play, social, or movement skills with physical illness") on the Autism Diagnostic Interview-Revised (ADIR ) is significantly associated with the BIN1 gene (Connolly et al., 2012).",3,0,,0,,22935194,,,"20142620,23275889"
BIRC6,Baculoviral IAP repeat containing 6,57448,"APOLLON, BRUCE",2,2p22.3,Q9NR09,605638,"This gene encodes a protein with a BIR (baculoviral inhibition of apoptosis protein repeat) domain and a UBCc (ubiquitin-conjugating enzyme E2, catalytic) domain that inhibits apoptosis by facilitating the degradation of apoptotic proteins by ubiquitination.",Rare single gene variant,"Three de novo variants in this gene (one nonsense, two missense) have been identified in simplex ASD probands (Iossifov et al., 2012; De Rubeis et al., 2014). Furthermore, an inherited LoF variant in this gene was observed in both affected siblings from a quartet ASD family (Yuen et al., 2015). This gene was also included in a set of genes strongly enriched for those likely to affect risk (FDR < 0.30) (De Rubeis, et al., 2014).",10,0,,0,,22542183,,"25363760,25621899,26938441","28440294,28714951,28965761,30504930,31398340,31674007"
BRAF,v-raf murine sarcoma viral oncogene homolog B,673,"B-RAF1, BRAF1, NS7, RAFB1",7,7q34,P15056,164757,"This gene encodes a protein belonging to the raf/mil family of serine/threonine protein kinases. This protein plays a role in regulating the MAP kinase/ERKs signaling pathway, which affects cell division, differentiation, and secretion. Mutations in this gene are associated with cardiofaciocutaneous syndrome (CFC) [MIM:115150], a disease characterized by heart defects, mental retardation and a distinctive facial appearance. Mutations in this gene have also been associated with various cancers, including non-Hodgkin lymphoma, colorectal cancer, malignant melanoma, thyroid carcinoma, non-small cell lung carcinoma, and adenocarcinoma of lung.",Syndromic,"In two recent reports, patients with cardiofaciocutaneous syndrome mediated by BRAF mutations were found to frequently exhibit autistic features, such as social impairment and internalizing/externalizing problems, as measured by commonly used ASD-related diagnostic tools (Alfieri et al., 2014; Adviento et al., 2014).",8,0,,0,,24458522,"16439621,16474404",24101678,"17704260,25363760,25533962,31130284"
BRCA2,"breast cancer 2, early onset",675,"RP11-298P3.4, BRCC2, BROVCA2, FACD, FAD, FAD1, FANCB, FANCD, FANCD1, GLM3, PNCA2",13,13q13.1,P51587,600185,"Inherited mutations in BRCA2 confer increased lifetime risk of developing breast or ovarian cancer. Both BRCA1 and BRCA2 are involved in maintenance of genome stability, specifically the homologous recombination pathway for double-strand DNA repair. The BRCA2 protein contains several copies of a 70 aa motif called the BRC motif, and these motifs mediate binding to the RAD51 recombinase which functions in DNA repair.",Rare Single Gene variant,"Rare mutations in the BRCA2 gene have been identified in individuals with ASD (Neale et al., 2012).",5,0,,0,,22495311,,,"25363760,26846091,30675382,31674007"
BRD4,bromodomain containing 4,23476,"CAP, HUNK1, HUNKI, MCAP",19,19p13.12,O60885,608749,BRD4 encodes a chromatin reader protein that recognizes and binds acetylated histones and plays a key role in transmission of epigenetic memory across cell divisions and transcription regulation. The protein encoded by the BRD4 gene remains associated with acetylated chromatin throughout the entire cell cycle and provides epigenetic memory for postmitotic G1 gene transcription by preserving acetylated chromatin status and maintaining high-order chromatin structure.,Rare single gene variant,"A de novo in-frame deletion variant in the BRD4 gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2012; functional characterization in Korb et al., 2017 demonstrated that this variant prevented a Brd4-induced increase in spine formation in transfected neurons compared to wild-type Brd4, suggesting a loss-of-function effect. Korb et al., 2017 also demonstrated that Brd4 was upregulated in a mouse model of Fragile X syndrome (FXS), and that inhibition of Brd4 function by the inhibitor JQ1 alleviated many of the phenotypes associated with Fragile X syndrome that were observed in FXS mice. De novo missense variants in BRD4 have also been identified in ASD probands from the Simons Simplex Collection (Krumm et al., 2015).",4,0,,0,,22542183,,"28823556,29379197",25961944
