"gene"	"pLI"	"intolerant"	"interaction_type"	"snp"	"log2_aFC"
"SEC13"	0.017926	"Tolerant"	"non-eQTL"	NA	NA
"FZD7"	0.08835	"Tolerant"	"non-eQTL"	NA	NA
"FKBP15"	5.551e-12	"Tolerant"	"non-eQTL"	NA	NA
"FLII"	5.5313e-12	"Tolerant"	"non-eQTL"	NA	NA
"SMTN"	1.5966e-07	"Tolerant"	"non-eQTL"	NA	NA
"METTL14"	0.0013331	"Tolerant"	"non-eQTL"	NA	NA
"PRDM4"	0.0013238	"Tolerant"	"non-eQTL"	NA	NA
"DHX38"	2.1124e-12	"Tolerant"	"non-eQTL"	NA	NA
"FCER1G"	0.66327	"Tolerant"	"non-eQTL"	NA	NA
"ST3GAL4"	0.039802	"Tolerant"	"non-eQTL"	NA	NA
"ALX1"	0.17618	"Tolerant"	"non-eQTL"	NA	NA
"IK"	2.4864e-06	"Tolerant"	"non-eQTL"	NA	NA
"EFNB3"	0.3205	"Tolerant"	"non-eQTL"	NA	NA
"EIF3M"	0.01748	"Tolerant"	"non-eQTL"	NA	NA
"ARPP19"	0.77371	"Tolerant"	"non-eQTL"	NA	NA
"PSD2"	0.00022099	"Tolerant"	"non-eQTL"	NA	NA
"DDX50"	9.7491e-07	"Tolerant"	"non-eQTL"	NA	NA
"CLCN6"	6.1077e-08	"Tolerant"	"non-eQTL"	NA	NA
"DOLPP1"	0.17497	"Tolerant"	"non-eQTL"	NA	NA
"GTF2E2"	0.039299	"Tolerant"	"non-eQTL"	NA	NA
"NCKIPSD"	0.00022309	"Tolerant"	"non-eQTL"	NA	NA
"CSTF2T"	0.086385	"Tolerant"	"non-eQTL"	NA	NA
"SLC17A8"	0.0013196	"Tolerant"	"non-eQTL"	NA	NA
"SERINC1"	0.0074634	"Tolerant"	"non-eQTL"	NA	NA
"MEF2C"	0.017256	"Tolerant"	"non-eQTL"	NA	NA
"KIAA0754"	0.085483	"Tolerant"	"non-eQTL"	NA	NA
"ZC3H10"	0.31615	"Tolerant"	"non-eQTL"	NA	NA
"MAPK7"	0.0031023	"Tolerant"	"non-eQTL"	NA	NA
"GLIS1"	0.038902	"Tolerant"	"non-eQTL"	NA	NA
"NEK6"	0.038901	"Tolerant"	"non-eQTL"	NA	NA
"NDUFA2"	0.77351	"Tolerant"	"non-eQTL"	NA	NA
"KATNB1"	1.4478e-05	"Tolerant"	"non-eQTL"	NA	NA
"ZNF324"	0.038443	"Tolerant"	"non-eQTL"	NA	NA
"KHDRBS2"	0.038537	"Tolerant"	"non-eQTL"	NA	NA
"TFAM"	0.17259	"Tolerant"	"non-eQTL"	NA	NA
"IHH"	0.31397	"Tolerant"	"non-eQTL"	NA	NA
"PDZRN4"	9.1425e-07	"Tolerant"	"non-eQTL"	NA	NA
"LYL1"	0.77265	"Tolerant"	"non-eQTL"	NA	NA
"VPS53"	1.3999e-07	"Tolerant"	"non-eQTL"	NA	NA
"C19orf47"	0.17091	"Tolerant"	"non-eQTL"	NA	NA
"ZNF583"	0.007156	"Tolerant"	"non-eQTL"	NA	NA
"TMEM120B"	0.0071229	"Tolerant"	"non-eQTL"	NA	NA
"COX10"	0.08405	"Tolerant"	"non-eQTL"	NA	NA
"SOHLH2"	0.0012421	"Tolerant"	"non-eQTL"	NA	NA
"CCDC169-SOHLH2"	0.0012421	"Tolerant"	"non-eQTL"	NA	NA
"WNT2B"	0.038333	"Tolerant"	"non-eQTL"	NA	NA
"DAPP1"	0.17169	"Tolerant"	"non-eQTL"	NA	NA
"GNAI3"	0.038287	"Tolerant"	"non-eQTL"	NA	NA
"SMARCAL1"	2.2554e-06	"Tolerant"	"non-eQTL"	NA	NA
"SNX33"	0.08407	"Tolerant"	"non-eQTL"	NA	NA
"SH3D19"	5.5622e-06	"Tolerant"	"non-eQTL"	NA	NA
"MTFR1L"	0.31279	"Tolerant"	"non-eQTL"	NA	NA
"PLEKHG2"	1.3557e-09	"Tolerant"	"non-eQTL"	NA	NA
"PREX2"	3.3283e-16	"Tolerant"	"non-eQTL"	NA	NA
"AKAP14"	0.65829	"Tolerant"	"non-eQTL"	NA	NA
"BTBD10"	0.0029452	"Tolerant"	"non-eQTL"	NA	NA
"UXS1"	0.0029371	"Tolerant"	"non-eQTL"	NA	NA
"ABCF1"	1.2823e-09	"Tolerant"	"non-eQTL"	NA	NA
"TMEM64"	0.49005	"Tolerant"	"non-eQTL"	NA	NA
"ST6GALNAC5"	0.16967	"Tolerant"	"non-eQTL"	NA	NA
"ZNF101"	0.77153	"Tolerant"	"non-eQTL"	NA	NA
"NRAS"	0.49009	"Tolerant"	"non-eQTL"	NA	NA
"GPR124"	5.4955e-08	"Tolerant"	"non-eQTL"	NA	NA
"GLUD1"	0.0070495	"Tolerant"	"non-eQTL"	NA	NA
"KLF15"	0.48843	"Tolerant"	"non-eQTL"	NA	NA
"SLC1A5"	0.16869	"Tolerant"	"non-eQTL"	NA	NA
"ICK"	1.3376e-05	"Tolerant"	"non-eQTL"	NA	NA
"TAT"	0.0068998	"Tolerant"	"non-eQTL"	NA	NA
"CD164"	0.48906	"Tolerant"	"non-eQTL"	NA	NA
"SLC39A7"	0.082078	"Tolerant"	"non-eQTL"	NA	NA
"ASIC4"	0.0028675	"Tolerant"	"non-eQTL"	NA	NA
"HLA-E"	0.036773	"Tolerant"	"non-eQTL"	NA	NA
"C11orf57"	0.30748	"Tolerant"	"non-eQTL"	NA	NA
"MAPK3"	0.036884	"Tolerant"	"non-eQTL"	NA	NA
"TGFB1"	0.03685	"Tolerant"	"non-eQTL"	NA	NA
"RNF166"	0.48668	"Tolerant"	"non-eQTL"	NA	NA
"SLC7A6OS"	0.16755	"Tolerant"	"non-eQTL"	NA	NA
"PAX9"	0.30866	"Tolerant"	"non-eQTL"	NA	NA
"LCAT"	0.08102	"Tolerant"	"non-eQTL"	NA	NA
"ITPR2"	5.7127e-29	"Tolerant"	"non-eQTL"	NA	NA
"LONRF2"	0.0011706	"Tolerant"	"non-eQTL"	NA	NA
"SPIC"	0.30668	"Tolerant"	"non-eQTL"	NA	NA
"OLFM2"	0.080225	"Tolerant"	"non-eQTL"	NA	NA
"SLC30A2"	0.080883	"Tolerant"	"non-eQTL"	NA	NA
"HOMEZ"	0.015814	"Tolerant"	"non-eQTL"	NA	NA
"KCNJ2"	0.30653	"Tolerant"	"non-eQTL"	NA	NA
"RNF20"	1.7545e-10	"Tolerant"	"non-eQTL"	NA	NA
"TMEM89"	0.76981	"Tolerant"	"non-eQTL"	NA	NA
"GPC1"	0.015547	"Tolerant"	"non-eQTL"	NA	NA
"NOP10"	0.76943	"Tolerant"	"non-eQTL"	NA	NA
"PALM3"	0.48446	"Tolerant"	"non-eQTL"	NA	NA
"FECH"	0.0027587	"Tolerant"	"non-eQTL"	NA	NA
"ANKRD10"	0.1645	"Tolerant"	"non-eQTL"	NA	NA
"DPP4"	7.2797e-09	"Tolerant"	"non-eQTL"	NA	NA
"AHCY"	0.035922	"Tolerant"	"non-eQTL"	NA	NA
"PDCL"	0.30486	"Tolerant"	"non-eQTL"	NA	NA
"COL4A4"	6.7123e-16	"Tolerant"	"non-eQTL"	NA	NA
"NXPH1"	0.4837	"Tolerant"	"non-eQTL"	NA	NA
"DCX"	0.3042	"Tolerant"	"non-eQTL"	NA	NA
"RCSD1"	0.036157	"Tolerant"	"non-eQTL"	NA	NA
"RGMA"	0.16472	"Tolerant"	"non-eQTL"	NA	NA
"TMEM39B"	0.0065082	"Tolerant"	"non-eQTL"	NA	NA
"CLDND1"	0.16354	"Tolerant"	"non-eQTL"	NA	NA
"EPHB6"	1.2013e-07	"Tolerant"	"non-eQTL"	NA	NA
"RP11-1035H13.3"	0.1639	"Tolerant"	"non-eQTL"	NA	NA
"OPRL1"	0.48172	"Tolerant"	"non-eQTL"	NA	NA
"LYSMD3"	0.30382	"Tolerant"	"non-eQTL"	NA	NA
"MAN2A1"	1.6205e-10	"Tolerant"	"non-eQTL"	NA	NA
"POLR2H"	0.65257	"Tolerant"	"non-eQTL"	NA	NA
"AARS"	1.8242e-08	"Tolerant"	"non-eQTL"	NA	NA
"LHFPL4"	0.65247	"Tolerant"	"non-eQTL"	NA	NA
"DACH2"	0.16242	"Tolerant"	"non-eQTL"	NA	NA
"ZFP92"	0.65179	"Tolerant"	"non-eQTL"	NA	NA
"CDC42SE2"	0.76835	"Tolerant"	"non-eQTL"	NA	NA
"PTPDC1"	2.9858e-05	"Tolerant"	"non-eQTL"	NA	NA
"HSPA12B"	0.00045299	"Tolerant"	"non-eQTL"	NA	NA
"RGS8"	0.30184	"Tolerant"	"non-eQTL"	NA	NA
"ICAM1"	0.035295	"Tolerant"	"non-eQTL"	NA	NA
"KCNJ9"	0.30133	"Tolerant"	"non-eQTL"	NA	NA
"RPL28"	0.76854	"Tolerant"	"non-eQTL"	NA	NA
"ZNF41"	0.035083	"Tolerant"	"non-eQTL"	NA	NA
"CCDC92"	0.29985	"Tolerant"	"non-eQTL"	NA	NA
"NOC4L"	0.0010792	"Tolerant"	"non-eQTL"	NA	NA
"OTUD1"	0.65091	"Tolerant"	"non-eQTL"	NA	NA
"IER2"	0.76773	"Tolerant"	"non-eQTL"	NA	NA
"ZBTB7C"	0.16087	"Tolerant"	"non-eQTL"	NA	NA
"KLHL13"	0.035016	"Tolerant"	"non-eQTL"	NA	NA
"MAN2A2"	1.4995e-10	"Tolerant"	"non-eQTL"	NA	NA
"TMED7"	0.47966	"Tolerant"	"non-eQTL"	NA	NA
"TBP"	0.015031	"Tolerant"	"non-eQTL"	NA	NA
"SOX7"	0.47914	"Tolerant"	"non-eQTL"	NA	NA
"WIPI2"	0.0063887	"Tolerant"	"non-eQTL"	NA	NA
"MIB2"	2.8024e-07	"Tolerant"	"non-eQTL"	NA	NA
"RCE1"	0.15955	"Tolerant"	"non-eQTL"	NA	NA
"FZD3"	0.00043561	"Tolerant"	"non-eQTL"	NA	NA
"MAPK1IP1L"	0.64991	"Tolerant"	"non-eQTL"	NA	NA
"ZNF133"	0.0026035	"Tolerant"	"non-eQTL"	NA	NA
"TUBA4A"	0.15983	"Tolerant"	"non-eQTL"	NA	NA
"JKAMP"	0.076522	"Tolerant"	"non-eQTL"	NA	NA
"CNIH1"	0.64965	"Tolerant"	"non-eQTL"	NA	NA
"TUSC2"	0.7671	"Tolerant"	"non-eQTL"	NA	NA
"PRC1"	2.6753e-07	"Tolerant"	"non-eQTL"	NA	NA
"WDR91"	4.3664e-06	"Tolerant"	"non-eQTL"	NA	NA
"BCAN"	1.7582e-06	"Tolerant"	"non-eQTL"	NA	NA
"LAMA1"	3.2248e-32	"Tolerant"	"non-eQTL"	NA	NA
"HADHA"	4.4354e-06	"Tolerant"	"non-eQTL"	NA	NA
"PABPC1L"	0.00043212	"Tolerant"	"non-eQTL"	NA	NA
"UNC5B"	2.6935e-07	"Tolerant"	"non-eQTL"	NA	NA
"NR1D2"	0.0061743	"Tolerant"	"non-eQTL"	NA	NA
"HSPA4L"	6.9455e-07	"Tolerant"	"non-eQTL"	NA	NA
"FAM160A1"	1.1161e-05	"Tolerant"	"non-eQTL"	NA	NA
"ST3GAL3"	0.0025598	"Tolerant"	"non-eQTL"	NA	NA
"ESYT1"	1.6707e-13	"Tolerant"	"non-eQTL"	NA	NA
"FOXRED2"	0.0025238	"Tolerant"	"non-eQTL"	NA	NA
"FADS3"	0.0025334	"Tolerant"	"non-eQTL"	NA	NA
"PRKD1"	6.6485e-07	"Tolerant"	"non-eQTL"	NA	NA
"SMOC2"	0.0025279	"Tolerant"	"non-eQTL"	NA	NA
"KRT10"	0.0025253	"Tolerant"	"non-eQTL"	NA	NA
"NSMCE4A"	0.014523	"Tolerant"	"non-eQTL"	NA	NA
"PAF1"	0.00016932	"Tolerant"	"non-eQTL"	NA	NA
"PLEKHO2"	0.033559	"Tolerant"	"non-eQTL"	NA	NA
"GPR50"	0.64639	"Tolerant"	"non-eQTL"	NA	NA
"HOOK1"	3.8686e-08	"Tolerant"	"non-eQTL"	NA	NA
"SLC25A3"	0.074834	"Tolerant"	"non-eQTL"	NA	NA
"GOT2"	0.014233	"Tolerant"	"non-eQTL"	NA	NA
"TMEM123"	0.64643	"Tolerant"	"non-eQTL"	NA	NA
"COQ10B"	0.29421	"Tolerant"	"non-eQTL"	NA	NA
"ZNF304"	0.032902	"Tolerant"	"non-eQTL"	NA	NA
"ATP1B2"	0.073684	"Tolerant"	"non-eQTL"	NA	NA
"QSOX1"	2.5936e-05	"Tolerant"	"non-eQTL"	NA	NA
"YARS"	0.0010047	"Tolerant"	"non-eQTL"	NA	NA
"GJA1"	0.15523	"Tolerant"	"non-eQTL"	NA	NA
"TDRD3"	4.1011e-06	"Tolerant"	"non-eQTL"	NA	NA
"RTN3"	6.6163e-05	"Tolerant"	"non-eQTL"	NA	NA
"PPP4R4"	2.2494e-09	"Tolerant"	"non-eQTL"	NA	NA
"CD2"	0.47108	"Tolerant"	"non-eQTL"	NA	NA
"SMARCD2"	6.4893e-05	"Tolerant"	"non-eQTL"	NA	NA
"TLR9"	1.0088e-05	"Tolerant"	"non-eQTL"	NA	NA
"C1orf172"	0.15422	"Tolerant"	"non-eQTL"	NA	NA
"ZBED6"	0.00039942	"Tolerant"	"non-eQTL"	NA	NA
"ZNF563"	0.7644	"Tolerant"	"non-eQTL"	NA	NA
"RNF167"	0.032145	"Tolerant"	"non-eQTL"	NA	NA
"TXNDC16"	9.949e-06	"Tolerant"	"non-eQTL"	NA	NA
"CKAP2L"	0.00015885	"Tolerant"	"non-eQTL"	NA	NA
"LRRN3"	0.032413	"Tolerant"	"non-eQTL"	NA	NA
"SPAG17"	1.1892e-24	"Tolerant"	"non-eQTL"	NA	NA
"SERAC1"	3.9339e-06	"Tolerant"	"non-eQTL"	NA	NA
"TMEM41B"	0.28842	"Tolerant"	"non-eQTL"	NA	NA
"EPS8L2"	1.494e-06	"Tolerant"	"non-eQTL"	NA	NA
"SERPINF2"	0.013624	"Tolerant"	"non-eQTL"	NA	NA
"FBXO24"	0.00038251	"Tolerant"	"non-eQTL"	NA	NA
"KEAP1"	0.00038766	"Tolerant"	"non-eQTL"	NA	NA
"MTR"	2.4301e-12	"Tolerant"	"non-eQTL"	NA	NA
"UTP18"	0.0023345	"Tolerant"	"non-eQTL"	NA	NA
"CERS3"	0.0056921	"Tolerant"	"non-eQTL"	NA	NA
"COL16A1"	2.9031e-24	"Tolerant"	"non-eQTL"	NA	NA
"SUCLA2"	0.0023488	"Tolerant"	"non-eQTL"	NA	NA
"TOX2"	0.031987	"Tolerant"	"non-eQTL"	NA	NA
"IL22RA1"	0.0056855	"Tolerant"	"non-eQTL"	NA	NA
"FDPS"	0.0056199	"Tolerant"	"non-eQTL"	NA	NA
"DRP2"	3.7475e-06	"Tolerant"	"non-eQTL"	NA	NA
"SV2C"	2.4354e-05	"Tolerant"	"non-eQTL"	NA	NA
"MRVI1"	2.2619e-07	"Tolerant"	"non-eQTL"	NA	NA
"ACTG2"	0.071036	"Tolerant"	"non-eQTL"	NA	NA
"CENPL"	0.071221	"Tolerant"	"non-eQTL"	NA	NA
"HOXA1"	0.28514	"Tolerant"	"non-eQTL"	NA	NA
"DOPEY2"	7.5465e-21	"Tolerant"	"non-eQTL"	NA	NA
"MAB21L1"	0.28626	"Tolerant"	"non-eQTL"	NA	NA
"HR"	7.438e-10	"Tolerant"	"non-eQTL"	NA	NA
"CITED2"	0.76271	"Tolerant"	"non-eQTL"	NA	NA
"RUNDC3B"	0.00093163	"Tolerant"	"non-eQTL"	NA	NA
"NR1H4"	0.00093892	"Tolerant"	"non-eQTL"	NA	NA
"SHFM1"	0.76288	"Tolerant"	"non-eQTL"	NA	NA
"ERGIC2"	0.013458	"Tolerant"	"non-eQTL"	NA	NA
"CTC1"	1.6015e-11	"Tolerant"	"non-eQTL"	NA	NA
"SLC35B2"	0.071488	"Tolerant"	"non-eQTL"	NA	NA
"CHN2"	0.0023008	"Tolerant"	"non-eQTL"	NA	NA
"NEDD4"	8.7208e-13	"Tolerant"	"non-eQTL"	NA	NA
"NXPE3"	0.013439	"Tolerant"	"non-eQTL"	NA	NA
"MARK3"	1.4273e-06	"Tolerant"	"non-eQTL"	NA	NA
"CDSN"	0.46391	"Tolerant"	"non-eQTL"	NA	NA
"LRRC49"	9.3518e-06	"Tolerant"	"non-eQTL"	NA	NA
"GATA5"	0.28478	"Tolerant"	"non-eQTL"	NA	NA
"SYNPO2"	8.5623e-08	"Tolerant"	"non-eQTL"	NA	NA
"RAB24"	0.14963	"Tolerant"	"non-eQTL"	NA	NA
"ZFAT"	1.275e-08	"Tolerant"	"non-eQTL"	NA	NA
"FAM13C"	5.8127e-05	"Tolerant"	"non-eQTL"	NA	NA
"AMFR"	5.8368e-05	"Tolerant"	"non-eQTL"	NA	NA
"TMEM165"	0.28339	"Tolerant"	"non-eQTL"	NA	NA
"EDIL3"	0.00014584	"Tolerant"	"non-eQTL"	NA	NA
"CABLES1"	0.0054966	"Tolerant"	"non-eQTL"	NA	NA
"MYH3"	6.7197e-21	"Tolerant"	"non-eQTL"	NA	NA
"ZFAND6"	0.46236	"Tolerant"	"non-eQTL"	NA	NA
"EFNA1"	0.46263	"Tolerant"	"non-eQTL"	NA	NA
"FSTL5"	1.4042e-06	"Tolerant"	"non-eQTL"	NA	NA
"DNAJC10"	1.1869e-08	"Tolerant"	"non-eQTL"	NA	NA
"NKX3-2"	0.63821	"Tolerant"	"non-eQTL"	NA	NA
"LDHA"	0.069173	"Tolerant"	"non-eQTL"	NA	NA
"STARD9"	1.0336e-38	"Tolerant"	"non-eQTL"	NA	NA
"MGAT3"	0.14725	"Tolerant"	"non-eQTL"	NA	NA
"SLC51A"	0.069643	"Tolerant"	"non-eQTL"	NA	NA
"ATP6V1H"	0.00014523	"Tolerant"	"non-eQTL"	NA	NA
"SYCE2"	0.28077	"Tolerant"	"non-eQTL"	NA	NA
"SV2B"	5.7007e-05	"Tolerant"	"non-eQTL"	NA	NA
"PDDC1"	0.46045	"Tolerant"	"non-eQTL"	NA	NA
"PPARA"	0.030182	"Tolerant"	"non-eQTL"	NA	NA
"PLAT"	5.6593e-05	"Tolerant"	"non-eQTL"	NA	NA
"PSMD8"	0.068806	"Tolerant"	"non-eQTL"	NA	NA
"ARL4C"	0.76081	"Tolerant"	"non-eQTL"	NA	NA
"HEATR5B"	3.066e-22	"Tolerant"	"non-eQTL"	NA	NA
"IL17RA"	0.00035636	"Tolerant"	"non-eQTL"	NA	NA
"MPP3"	3.4521e-06	"Tolerant"	"non-eQTL"	NA	NA
"UTP14C"	0.0053453	"Tolerant"	"non-eQTL"	NA	NA
"CAB39"	0.068013	"Tolerant"	"non-eQTL"	NA	NA
"SLC6A9"	2.1702e-05	"Tolerant"	"non-eQTL"	NA	NA
"VSNL1"	0.45742	"Tolerant"	"non-eQTL"	NA	NA
"HPS4"	0.00013778	"Tolerant"	"non-eQTL"	NA	NA
"LMO1"	0.63546	"Tolerant"	"non-eQTL"	NA	NA
"SLC25A37"	0.27886	"Tolerant"	"non-eQTL"	NA	NA
"PTPRJ"	1.2879e-11	"Tolerant"	"non-eQTL"	NA	NA
"GOLGA7"	0.45619	"Tolerant"	"non-eQTL"	NA	NA
"VRK1"	0.0021149	"Tolerant"	"non-eQTL"	NA	NA
"MKRN3"	0.27756	"Tolerant"	"non-eQTL"	NA	NA
"EN2"	0.63448	"Tolerant"	"non-eQTL"	NA	NA
"FCGR2B"	0.45637	"Tolerant"	"non-eQTL"	NA	NA
"CAMKK1"	0.00033981	"Tolerant"	"non-eQTL"	NA	NA
"ACVR1C"	0.00085157	"Tolerant"	"non-eQTL"	NA	NA
"KPNA5"	0.00013525	"Tolerant"	"non-eQTL"	NA	NA
"MPC2"	0.63515	"Tolerant"	"non-eQTL"	NA	NA
"USP4"	1.6119e-09	"Tolerant"	"non-eQTL"	NA	NA
"FAM53C"	0.067598	"Tolerant"	"non-eQTL"	NA	NA
"BRCA2"	2.3581e-25	"Tolerant"	"non-eQTL"	NA	NA
"MEI1"	4.711e-12	"Tolerant"	"non-eQTL"	NA	NA
"ITGAM"	3.3148e-11	"Tolerant"	"non-eQTL"	NA	NA
"EDN1"	0.45504	"Tolerant"	"non-eQTL"	NA	NA
"PPARG"	0.029194	"Tolerant"	"non-eQTL"	NA	NA
"PRR5"	0.066916	"Tolerant"	"non-eQTL"	NA	NA
"TJP2"	3.236e-11	"Tolerant"	"non-eQTL"	NA	NA
"UNCX"	0.63399	"Tolerant"	"non-eQTL"	NA	NA
"SEMA6C"	1.238e-06	"Tolerant"	"non-eQTL"	NA	NA
"RP5-1052I5.2"	0.066738	"Tolerant"	"non-eQTL"	NA	NA
"ZNF382"	0.029397	"Tolerant"	"non-eQTL"	NA	NA
"THSD7B"	2.6474e-19	"Tolerant"	"non-eQTL"	NA	NA
"COL9A2"	1.0453e-08	"Tolerant"	"non-eQTL"	NA	NA
"HCRTR2"	0.005035	"Tolerant"	"non-eQTL"	NA	NA
"SLC18A3"	0.45355	"Tolerant"	"non-eQTL"	NA	NA
"ALOX5"	1.2059e-06	"Tolerant"	"non-eQTL"	NA	NA
"CALCOCO1"	1.202e-06	"Tolerant"	"non-eQTL"	NA	NA
"SLC25A23"	0.0020617	"Tolerant"	"non-eQTL"	NA	NA
"SLC25A4"	0.45334	"Tolerant"	"non-eQTL"	NA	NA
"TMOD3"	0.06636	"Tolerant"	"non-eQTL"	NA	NA
"SPIN4"	0.75843	"Tolerant"	"non-eQTL"	NA	NA
"TEF"	0.63291	"Tolerant"	"non-eQTL"	NA	NA
"UBC"	0.14161	"Tolerant"	"non-eQTL"	NA	NA
"DOK1"	0.029002	"Tolerant"	"non-eQTL"	NA	NA
"SIL1"	0.012265	"Tolerant"	"non-eQTL"	NA	NA
"RCHY1"	0.066203	"Tolerant"	"non-eQTL"	NA	NA
"TINAGL1"	0.00032933	"Tolerant"	"non-eQTL"	NA	NA
"BGN"	0.45229	"Tolerant"	"non-eQTL"	NA	NA
"UBE2S"	0.63172	"Tolerant"	"non-eQTL"	NA	NA
"HDGF"	0.27272	"Tolerant"	"non-eQTL"	NA	NA
"PPFIA4"	1.9863e-05	"Tolerant"	"non-eQTL"	NA	NA
"SLC1A4"	0.06559	"Tolerant"	"non-eQTL"	NA	NA
"ATRIP"	1.9918e-05	"Tolerant"	"non-eQTL"	NA	NA
"DENND2D"	0.00081369	"Tolerant"	"non-eQTL"	NA	NA
"PRR5L"	0.065457	"Tolerant"	"non-eQTL"	NA	NA
"WDR12"	0.00032559	"Tolerant"	"non-eQTL"	NA	NA
"VSTM2A"	0.27277	"Tolerant"	"non-eQTL"	NA	NA
"GALNT10"	1.987e-05	"Tolerant"	"Cis"	"rs11740474"	0.276720721138799
"GALNT10"	1.987e-05	"Tolerant"	"Cis"	"rs2434529"	0.379556503715191
"GDF7"	0.63062	"Tolerant"	"non-eQTL"	NA	NA
"SOCS2"	0.62999	"Tolerant"	"non-eQTL"	NA	NA
"TRHR"	0.2711	"Tolerant"	"non-eQTL"	NA	NA
"TPST2"	0.27109	"Tolerant"	"non-eQTL"	NA	NA
"ABCB11"	1.5612e-12	"Tolerant"	"non-eQTL"	NA	NA
"NR2F6"	0.45111	"Tolerant"	"non-eQTL"	NA	NA
"AMPD2"	4.5084e-07	"Tolerant"	"non-eQTL"	NA	NA
"ANPEP"	3.7492e-09	"Tolerant"	"non-eQTL"	NA	NA
"MPZ"	0.27158	"Tolerant"	"non-eQTL"	NA	NA
"GRM8"	4.5334e-07	"Tolerant"	"non-eQTL"	NA	NA
"KCNG3"	0.27167	"Tolerant"	"non-eQTL"	NA	NA
"PLOD2"	6.6965e-08	"Tolerant"	"non-eQTL"	NA	NA
"SYNGR1"	0.45121	"Tolerant"	"non-eQTL"	NA	NA
"TNNT2"	0.0020041	"Tolerant"	"non-eQTL"	NA	NA
"DHX16"	1.5996e-12	"Tolerant"	"non-eQTL"	NA	NA
"CYC1"	0.13875	"Tolerant"	"non-eQTL"	NA	NA
"GTF2IRD2B"	0.064422	"Tolerant"	"non-eQTL"	NA	NA
"MYCBPAP"	9.491e-09	"Tolerant"	"non-eQTL"	NA	NA
"RP11-1407O15.2"	0.028009	"Tolerant"	"non-eQTL"	NA	NA
"TBCCD1"	0.0019751	"Tolerant"	"non-eQTL"	NA	NA
"GCDH"	0.004856	"Tolerant"	"non-eQTL"	NA	NA
"LGR6"	2.9439e-06	"Tolerant"	"non-eQTL"	NA	NA
"SH3GL1"	0.011714	"Tolerant"	"non-eQTL"	NA	NA
"LRRC8C"	0.00078506	"Tolerant"	"non-eQTL"	NA	NA
"UGT8"	0.027986	"Tolerant"	"non-eQTL"	NA	NA
"CHST14"	0.44727	"Tolerant"	"non-eQTL"	NA	NA
"ICA1L"	0.00077913	"Tolerant"	"non-eQTL"	NA	NA
"LRRK2"	2.5757e-30	"Tolerant"	"non-eQTL"	NA	NA
"PRIMA1"	0.62894	"Tolerant"	"non-eQTL"	NA	NA
"ZDHHC3"	0.027681	"Tolerant"	"non-eQTL"	NA	NA
"POLE"	8.0488e-27	"Tolerant"	"non-eQTL"	NA	NA
"ZBTB26"	0.1378	"Tolerant"	"non-eQTL"	NA	NA
"CNN1"	0.13803	"Tolerant"	"non-eQTL"	NA	NA
"NDST4"	6.3382e-08	"Tolerant"	"non-eQTL"	NA	NA
"GFRA3"	0.027638	"Tolerant"	"non-eQTL"	NA	NA
"GGPS1"	0.26866	"Tolerant"	"non-eQTL"	NA	NA
"SLC6A11"	4.83e-05	"Tolerant"	"non-eQTL"	NA	NA
"RPS27"	0.75663	"Tolerant"	"non-eQTL"	NA	NA
"CYTH4"	0.00077316	"Tolerant"	"non-eQTL"	NA	NA
"AEBP1"	7.3471e-11	"Tolerant"	"non-eQTL"	NA	NA
"RALY"	0.13796	"Tolerant"	"non-eQTL"	NA	NA
"NDUFA9"	0.0047988	"Tolerant"	"non-eQTL"	NA	NA
"LAMB1"	5.0687e-22	"Tolerant"	"non-eQTL"	NA	NA
"MTO1"	7.38e-06	"Tolerant"	"non-eQTL"	NA	NA
"CRKL"	0.44604	"Tolerant"	"non-eQTL"	NA	NA
"GALNT18"	0.00030345	"Tolerant"	"non-eQTL"	NA	NA
"ALG6"	0.00030541	"Tolerant"	"non-eQTL"	NA	NA
"ZBTB6"	0.13693	"Tolerant"	"non-eQTL"	NA	NA
"ARFRP1"	0.13743	"Tolerant"	"non-eQTL"	NA	NA
"CHCHD3"	0.027527	"Tolerant"	"non-eQTL"	NA	NA
"C19orf66"	0.13736	"Tolerant"	"non-eQTL"	NA	NA
"KIAA0195"	2.7548e-14	"Tolerant"	"non-eQTL"	NA	NA
"MESDC2"	0.62773	"Tolerant"	"non-eQTL"	NA	NA
"STK38"	0.00076687	"Tolerant"	"non-eQTL"	NA	NA
"MOG"	0.13748	"Tolerant"	"non-eQTL"	NA	NA
"THOP1"	0.0001213	"Tolerant"	"non-eQTL"	NA	NA
"STARD13"	2.3524e-08	"Tolerant"	"non-eQTL"	NA	NA
"PKP4"	5.269e-13	"Tolerant"	"non-eQTL"	NA	NA
"PNPLA6"	1.94e-13	"Tolerant"	"non-eQTL"	NA	NA
"LAMP2"	0.26698	"Tolerant"	"non-eQTL"	NA	NA
"RGS17"	0.26684	"Tolerant"	"non-eQTL"	NA	NA
"SEMA4A"	1.8394e-05	"Tolerant"	"non-eQTL"	NA	NA
"KREMEN1"	0.011362	"Tolerant"	"non-eQTL"	NA	NA
"CDK4"	0.062909	"Tolerant"	"non-eQTL"	NA	NA
"ZNF2"	0.027216	"Tolerant"	"non-eQTL"	NA	NA
"PTPN13"	1.4172e-25	"Tolerant"	"non-eQTL"	NA	NA
"GOSR1"	0.062823	"Tolerant"	"non-eQTL"	NA	NA
